word,definition,ner,root_word,pos
BLOW,expel air through pursed lips,,blow,NN
NEWSPAPER,printed publication containing news,,newspaper,NN
HASHTAG,word or phrase preceded by hash sign to identify messages on specific topic,,hashtag,NN
BOOKS,written or printed work,,book,NNS
APPRISE,inform or tell,,apprise,NN
INCREASE,"a rise in the size, amount, or degree of something",,increase,NN
BEE,stinging winged insect which collects nectar and pollen,,bee,NN
CONFLICT,"a serious disagreement or argument, typically a protracted one",,conflict,NN
GOATEE,small pointed beard like that of goat,,goatee,NN
AVERAGE,constituting result found by dividing total amount,,average,JJ
EMPHASIZE,give special importance or value to something in speaking or writing,,emphasize,VB
THERAPIST,person skilled in particular kind of therapy,,therapist,NN
ADMIRATION,respect and warm approval,,admiration,NN
FAMOUS,known about by many people,,famous,JJ
BRAIN CELL,cell in tissue of brain,,brain cell,NN
DELIVER,provide something promised,,deliver,NN
EACH,used to refer to every one of two or more people or things,,each,DT
COFFEE,hot drink,,coffee,NN
HANDS,end part of person's arm including fingers,,hand,NNS
TWEETS,posts on Twitter,,tweet,NNS
CAN,have ability,,can,MD
INCREASE,become or make greater in size or degree,,increase,NN
BIRTH CONTROL,practice of preventing unwanted pregnancies,,birth control,NN
DISCOUNT,deduct amount from price,,discount,NN
BREAK,extended period of leisure,,break,NN
BASED,situate at base,,based,VBN
@, the symbol (@) used in email addresses,,@,NN
ROBOT,machine resembling human being,,robot,NN
CODE,write code for computer program,,code,NN
BANDWIDTH,range of frequencies within given band,,bandwidth,NN
AWAKE,not asleep,,awake,NN
BAPTIST,belonging to Protestant Christian denomination,I-MISC,baptist,NN
VIDEO,"system of recording, reproducing, or broadcasting moving visual images",,video,NN
HELP,assist someone to do something,,help,NN
BAKERY,place where bread and cakes are made or sold,,bakery,NN
EARLY,before usual time,,early,RB
MAGNIFYING GLASS,"a lens that produces an enlarged image, typically set in a frame with a handle and used to examine small or finely detailed things such as fingerprints and fine print",,magnifying glass,NN
LOCATION,place or position,,location,NN
DOUBT,feeling of uncertainty,,doubt,NN
SHINE,give out bright light,,shine,NN
ADMINISTRATIVE,"relating to running of business, organization, etc.",,administrative,JJ
POWER,physical strength and force,,power,NN
PAGE,sheet of paper in book etc.,,page,NN
SEPTEMBER,"ninth month of year, in northern hemisphere",,september,NN
END,final part,,end,NN
BLUE,blue colour,,blue,NN
TIE,attach or fasten with string or similar cord,,tie,NN
HEART,conventional representation of heart,,heart,NN
ORLANDO,city and tourist resort in central Florida,I-LOC,orlando,NN
ABHORRENCE,feeling of revulsion,,abhorrence,NN
WEDDING,marriage ceremony,,wedding,NN
UGLY,unpleasant or repulsive,,ugly,RB
PURCHASE,the action of buying something,,purchase,NN
ANNIVERSARY,date on which event took place or institution was founded in previous year,,anniversary,NN
GROWING,undergoing natural development by increasing in size and changing physically,,growing,VBG
I,used by speaker to refer to himself or herself,,i,NN
ALL NIGHT,"lasting, open, or operating throughout the night.",,all night,NN
BAT,mainly nocturnal mammal with membranous wings that extend between fingers and limbs,,bat,NN
AWAY,to or at a distance,,away,RB
TABLES,set of facts or figures systematically displayed,,table,NNS
LATE,happening after expected time,,late,RB
READY,in suitable state for action or situation,,ready,JJ
SAFE,protected from or not exposed to danger or risk,,safe,JJ
AWARENESS,knowledge or perception of situation or fact,,awareness,NN
COMPETE,strive to gain or win something by defeating or establishing superiority over others,,compete,NN
SAFE,protected from or not exposed to danger or risk,,safe,JJ
SNEEZE,act or sound of expelling air from nose in such way,,sneeze,NN
WANT,have desire to possess or do,,want,NN
INDUSTRY,economic activity involving processing of raw materials and manufacture of goods,,industry,NN
JANUARY,"first month of year, in northern hemisphere",,january,NN
BATH,large container for washing,I-LOC,bath,NN
GOING,act of leaving,,going,VBG
SEPARATE,cause to move or be apart,,separate,JJ
SCORE,"number of points, goals, runs, etc. achieved in game or by team",,score,NN
TROLLS,person who makes deliberately provocative post,I-PER,troll,NNS
CARAMEL,"sugar or syrup heated until it turns brown, used as flavouring or colouring",,caramel,NN
ASL DICTIONARY,Dictionary of American Sign Langauge,I-ORG,asl dictionary,JJ
DROVE,past of drive,,drove,NN
ALARM,fit with alarm,,alarm,NN
BEAN BAG,large cushion filled with polystyrene beads,,bean bag,NN
BROWN,the color or shade of brown,I-MISC,brown,NN
IRAN,"country in Middle East, between Caspian Sea and Persian Gulf",I-LOC,iran,NN
CHECK,"an examination to test or ascertain accuracy, quality, or satisfactory condition",,check,NN
AMAZON, the world's largest online retailer and a prominent cloud service provider,I-ORG,amazon,NN
OTHERS,denoting person or thing distinct from one already mentioned,,others,NNS
INDEX LIST OF,features or a list of something,,index list of,NN
IN,expressing movement resulting in becoming enclosed,,in,IN
INFLATE,increase by large amount,,inflate,NN
ABOUT,on subject of,,about,IN
PAINT,apply paint to,,paint,NN
THROUGH,expressing movement into one side and out of other side of opening etc.,,through,IN
SEARCH,act of searching for person or thing,,search,NN
ANSWERS,say or write in responses,,answer,NNS
RUN,move at speed faster than walk,,run,VB
BEEF,"flesh of cow, bull, or ox",,beef,NN
EXHAUSTED,very tired,,exhausted,VBN
VOTE,"a formal indication of a choice between two or more candidates or courses of action, expressed typically through a ballot or a show of hands",,vote,NN
LIGHTNING,occurrence of natural electrical discharge of very short duration and high voltage between cloud and ground or within cloud,,lightning,VBG
SWAMP,"area of low-lying, uncultivated ground where water collects",,swamp,NN
GET,come to have or hold,,get,VB
APPLE TREE,"tree bearing apples, with hard pale timber that is used in carpentry",,apple tree,NN
TIRED,in need of sleep or rest,,tired,VBN
GIVE,transfer possession of something to,,give,VB
SUBWAY,underground railway,,subway,NN
RECENT,"having happened, begun, or been done not long ago",,recent,JJ
BOSTON,state capital of Massachusetts,I-LOC,boston,NN
AFFLICTED,caused pain or trouble to,,afflicted,VBN
BOOTH,"a small temporary tent or structure at a market, fair, or exhibition, used for selling goods, providing information, or staging shows",,booth,NN
ABRAHAM LINCOLN,"Abraham Lincoln was an American lawyer, politician, and statesman who served as the 16th president of the United States from 1861.",I-PER,abraham lincoln,NN
FIRST,coming before all others,,first,RB
EXAM,A test of specified kind,,exam,NN
HOLD HANDS,grasp or carry in one's hands,,hold hands,NNS
SERVICES,assistance or advice given to customers,,service,NNS
APPREHEND,arrest someone for crime,,apprehend,NN
ABOUT,on subject of,,about,IN
DETAIL,individual fact or item,,detail,NN
POWERFUL,having great power or strength,,powerful,JJ
BATMAN,"US cartoon, TV, and film character",I-PER,batman,NN
NORTHWEST,to or toward the northwest,,northwest,RB
STEPMOTHER,woman who is wife or partner of one's parent after divorce or death,,stepmother,NN
OVER,extending upwards from,,over,IN
CHANGE,make different,,change,NN
FLIGHT,action or process of flying,,flight,NN
MASK BAG,airplane emergency procedure step,,mask bag,NN
LOCAL,relating or restricted to area,,local,JJ
MUST,be obliged to,,must,MD
ADDITIONAL,"added, extra, or supplementary to what is already present or available",,additional,JJ
BRITCHES,trousers,I-ORG,britches,NNS
WEST,"the direction towards the point of the horizon where the sun sets at the equinoxes, on the left-hand side of a person facing north, or the part of the horizon lying in this direction",,west,NN
ARRANGE,put in order,,arrange,NN
BEFORE,during period of time preceding particular event,,before,IN
JULY,"seventh month of year, in northern hemisphere",,july,NN
ATTRACTIONS,something that people come to see because they are interested in it,,attraction,NNS
BROUGHT,take or go with (someone or something) to a place,,brought,NN
HARDWARE,"machines, wiring, and other physical components of computer",,hardware,NN
ORANGE,large citrus fruit,I-MISC,orange,NN
HAPPEN,take place,,happen,VB
DOWNLOAD,act or process of downloading data,,download,NN
FINISH,complete task or activity,,finish,NN
CALCULATOR,"something used for making mathematical calculations, in particular a small electronic device with a keyboard and a visual display",,calculator,NN
COLLECTION,action of collecting,,collection,NN
BEAUTY PAGEANT,beauty contest,,beauty pageant,NN
STRAIGHT HAIR,hair that goes straight down with no texture,,straight hair,NN
FRIEND,person one has affectionate bond with,,friend,NN
ASL FAMILY,part of the ASL Community,I-PER,asl family,RB
AI,artificial intelligence,I-ORG,ai,NN
OXYGEN MASK OFF,removing oyxgen mask covering,,oxygen mask off,NN
APARTMENT,flat,,apartment,NN
DIGITAL,referring to signals/information represented by discrete values of quantity,,digital,NN
SHE,"used to refer to woman, girl, or female animal",,she,PRP
HOW,in what way,,how,WRB
RIVER,large natural stream of water flowing in channel to sea,,river,NN
BROACH,ornament fastened to clothing with hinged pin and catch,,broach,NN
BUILDING,structure with roof and walls,,building,NN
CALCULUS,"the branch of mathematics that deals with the finding and properties of derivatives and integrals of functions, by methods originally based on the summation of infinitesimal differences. The two main types are differential calculus and integral calculus",,calculus,NN
BUYER,a person who makes a purchase,,buyer,NN
EXAM,short for examination (sense 2).,,exam,NN
ASHEN,very pale with shock or illness,I-PER,ashen,NN
EQUAL,the same,,equal,JJ
DIVORCE,legally dissolve marriage with,,divorce,NN
AGREE,have same opinion,,agree,NN
MANY,large number of,,many,JJ
NORWAY,mountainous European country on northern and western coastline of Scandinavia,I-LOC,norway,RB
BASIC,fundamental,,basic,JJ
MOBILE DEVICES,"relating to mobile phones, handheld computers, and similar technology",,mobile devices,NNS
DESERT,"waterless, desolate area",I-LOC,desert,NN
BUY,obtain in exchange for payment,,buy,VB
COFFEE,hot drink,,coffee,NN
BEAR,large animal,,bear,NN
DESKTOP,working surface of desk,,desktop,NN
POLICE,civil force for prevention of crime,,police,NNS
CLICK,press mouse button,,click,NN
ELEVEN,one more than ten,,eleven,RB
SOFT,having pleasing quality involving subtle effect or contrast rather than sharp definition,,soft,JJ
GRANDPA,one's grandfather,,grandpa,NN
LIKE,similar to,,like,IN
EMPIRE,"an extensive group of states or countries ruled over by a single monarch, an oligarchy, or a sovereign state",,empire,NN
ATTORNEY,lawyer,,attorney,NN
AIRBAG,safety device fitted inside road vehicle,,airbag,NN
SHARE,have portion of something with another or others,,share,NN
BIO,biography,,bio,NN
NAME,word by which person or thing is known,,name,NN
APPROXIMATE,"close to the actual, but not completely accurate or exact",,approximate,NN
DISCRIMINATION,action of discriminating against people,,discrimination,NN
RECOMMEND,put forward person or thing with approval as being suitable for particular purpose or role,,recommend,NN
ALL-AMERICAN,having good American qualities,I-MISC,all-american,JJ
LAW,system of rules in country or community,,law,NN
NOSE RING,a ring or jewelry that is worn on the nose,,nose ring,VBG
EXTRA,additional,,extra,JJ
ANTARCTICA,continent round South Pole,I-LOC,antarctica,NN
LIVING ROOM,space that can be occupied or where something can be done,,living room,NN
H,eighth letter of alphabet,,h,NN
SENIOR,high or higher in rank or status,,senior,JJ
INTERNET,global computer network providing information and communication facilities,I-MISC,internet,NN
SOFTBALL,modified form of baseball played on smaller field with larger,,softball,NN
ELEVATOR,lift,,elevator,NN
TOPIC,matter dealt with in text or conversation,,topic,NN
BENEFICIARY,person who derives advantage from something,,beneficiary,NN
FLOOD,overflow of large amount of water over dry land,,flood,NN
BENEFIT,advantage or profit gained,,benefit,NN
EXTREME WEATHER,"weather that is harsh, unseasonal, or atypical",,extreme weather,NN
INTERPRETER,person who interprets,,interpreter,NN
BASH,party,,bash,NN
ASSISTANT APPLY,job offer for secretary or administrative assistant working exclusively for one particular person,,assistant apply,NN
TALL,of great or more than average height,,tall,NN
DINNER,main meal of day,,dinner,NN
UP,directed or moving towards higher place or position,,up,RB
PROGRAM,provide (a computer or other machine) with coded instructions for the automatic performance of a task,,program,NN
OPEN-MINDED,willing to consider new ideas; unprejudiced,,open-minded,JJ
FLEXIBILITY,quality of bending easily without breaking,,flexibility,NN
OF,expressing relationship between part and whole,,of,IN
BECAUSE,for reason that,,because,IN
WATERPOLO,"game of Eastern origin resembling hockey, played on horseback with long-handled mallet",,waterpolo,NN
BARTER,exchange goods or services for other goods or services without using money,,barter,NN
FALL,move downwards,,fall,NN
NOVEMBER,"eleventh month of year, in northern hemisphere",,november,NN
WHERE,in or to what place or position,,where,WRB
MODULE,standardized part used in construction of structure,,module,NN
BLUSTERY,characterized by strong winds,,blustery,NN
BROWSE,survey goods,,browse,NN
AGENT,person acting for another,,agent,NN
GLOBAL,relating to whole world,,global,JJ
CAN'T,cannot or unable,,can't,NN
BODY ACHE,"Body ache is a complaint that is often used to denote vague symptoms of mild fatigue, lethargy, or dull aches.",,body ache,NN
HEAT,high temperature,,heat,NN
CROWD,large gathering of people,,crowd,NN
SMART,having or showing quick-witted intelligence,I-PER,smart,NN
ADVERSARY,one's opponent in contest or dispute,,adversary,NN
BAPTISMAL,relating to the Christian rite of baptism,,baptismal,NN
RAINFOREST,"luxuriant, dense forest rich in biodiversity",,rainforest,NN
LEARN,gain knowledge of or skill in something,,learn,NN
DATA,facts and statistics collected together for reference or analysis,,data,NNS
PICNIC,occasion when packed meal is eaten outdoors,,picnic,NN
MATCH,exact equivalent,,match,NN
COCHLEAR IMPLANT,"an electronic device that stimulates the auditory nerve through electrodes placed in the cochlea of the inner ear, allowing some severely deaf people to perceive sounds.",,cochlear implant,NN
THOMAS JEFFERSON,"Thomas Jefferson was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the third president of the United States from 1801 to 1809.",I-PER,thomas jefferson,NN
VETO,exercise a veto against (a decision or proposal),,veto,NN
DATA LOSS,"Data loss is an error condition in information systems in which information is destroyed by failures or neglect in storage, transmission, or processing",,data loss,NN
V,twenty-second letter of alphabet,,v,NN
HELP YOU,assist someone to do something,,help you,NN
FORCE,make (someone) do something against their will,,force,NN
NEAR,nearby,,near,IN
EARTH,our planet,I-LOC,earth,NN
ELBOWS,joints of arm,,elbow,NNS
STRANGE,unusual or surprising,,strange,NN
BOTTLE RETURN,"A monetary deposit collected at the point of sale when a bottled beverage is purchased, and fully or partially refunded when the empty bottle is returned.",,bottle return,NN
BUILD,style or form of construction,,build,NN
SINK,fixed basin with water supply and outflow pipe,,sink,NN
BURNING-UP,(of a person) have a very high temperature,,burning-up,NN
GLASSES,"pair of lenses set in frame resting on nose and ears, used to correct or assist defective eyesight",,glass,NNS
DAD,one's father,,dad,NN
GRANDCHILDREN,children of one's son or daughter,,grandchild,NNS
SPOON,implement used for eating,,spoon,NN
BEACH,seashore,,beach,NN
BUFFALO,heavily built wild ox,,buffalo,NN
EQUAL,the same,,equal,JJ
YES,used to give affirmative response,,yes,NNS
ANNUALY,once year,,annualy,NN
BEGAN,"do or experience first part of 
something",,began,VBD
COVER,extend over area,,cover,NN
RAINBOW,"arch of colours visible in sky, caused by refraction and dispersion of sun's light by rain",,rainbow,NN
DANGER,possibility of suffering harm,,danger,NN
BUZZ CUT,"a style of cutting the hair in which all the hair is cut very short, close to the skin of the head",,buzz cut,NN
BOUQUET,attractively arranged bunch of flowers,,bouquet,NN
LESS,smaller amount,,le,RBR
POINT TOP RIGHT,direct someone's attention towards something by extending one's finger or something held in one's hand,,point top right,NN
COLUMBIA,a republic in northwestern South America,I-LOC,columbia,NN
RUN,move at speed faster than walk,,run,VB
APPARENTLY,as far as one knows or can see,,apparently,RB
MAD,very angry,I-PER,mad,NN
CALL ME,requesting that someone call you by telephone.,,call me,NN
WOLF,wild carnivorous mammal which is largest member of dog family,,wolf,NN
TUESDAY,day of week before Wednesday and following Monday,,tuesday,NN
AMOUNT,quantity,,amount,NN
REMOVE,take something away or off from position occupied,,remove,VB
HUNGER,discomfort from lack of food,,hunger,NN
CHEQUE,order to bank to pay sum from drawer's account,,cheque,NN
POSSIBLE,able to be done,,possible,JJ
ALIVE,living,,alive,JJ
RESPIRATORY,relating to or affecting respiration or organs of respiration,,respiratory,NN
R,eighteenth letter of alphabet,,r,NN
IMPORTANT,of great significance or value,,important,JJ
LESSONS,period of learning or teaching,,lesson,NNS
FOUND,past and past participle of find,,found,NN
AREA,region,,area,NN
GATHER,come together,,gather,NN
MORE,greater amount of,,more,RBR
ACQUAINTANCE,knowledge or experience of something,,acquaintance,NN
PROFESSIONAL,relating to profession,,professional,JJ
OPTOMETRIST,person who practises optometry,,optometrist,NN
AWAY,"to or at a distance from a particular place, person, or thing",,away,RB
SHOCKED,surprised and upset,I-PER,shocked,VBN
ABILITY,possession of means or skill to do something,,ability,NN
PARKING LOT,an area where people can leave their cars,,parking lot,NN
MAINE,"NE state of US, on Atlantic coast",I-LOC,maine,NN
PLANE LANDING,instance of plane coming to land,,plane landing,VBG
ADDITIONALLY,as extra factor or circumstance,,additionally,RB
APP,self-contained program or piece of software designed to fulfil particular purpose,,app,NN
AMUSING,causing laughter and providing entertainment,,amusing,VBG
BUILDING,action or trade of constructing something,,building,NN
ROLE,"actor's part in play, film",,role,NN
COFFEE SHOP,"a small restaurant, often in a store, hotel, etc., where coffee, tea, other drinks without alcohol and simple food are served",,coffee shop,NN
PRICE,decide price of,,price,NN
ROLLER COASTER,fairground attraction consisting of light railway track,,roller coaster,NN
HIT,cause harm or distress to,,hit,NN
BLONDE,fair or pale yellow,,blonde,NN
THEIR,associated with people or things previously mentioned,,their,PRP$
HOSPITAL,institution providing medical and surgical treatment and nursing care,I-LOC,hospital,NN
GROW,increase,,grow,NN
AS OPPOSED TO,used to compare two things and show that they are different from each other,,as opposed to,NN
JOURNALIST,person who writes for newspapers or prepares news to be broadcast,,journalist,NN
IMPORTANT,of great significance or value,,important,JJ
MAINTAIN,preserve,,maintain,NN
ISRAEL,Hebrew nation or people,I-LOC,israel,NN
SHOTS,small drink of liquids,,shot,NNS
UP TO NOW,until now,,up to now,JJ
AMAZON,"a company set up in 1994 to sell books through the internet. The company now also offers video, music, video games, goods, and computer services.",I-ORG,amazon,NN
CHEW,work food in mouth,,chew,NN
SIZE,estimate or measure something's dimensions,,size,NN
PELLET,rounded compressed mass,,pellet,NN
CRY,shed tears,,cry,NN
AFFILIATION,state or process of affiliating or being affiliated,,affiliation,NN
BM,Bowel movement,,bm,NN
ANDROID,operating system for smartphones and tablet computers,I-MISC,android,NN
THREE OF YOU,equivalent to sum of one and two people,,three of you,NN
DETAILS,having many details or facts,,detail,NNS
CUTE,endearingly attractive,,cute,NN
ASL DEAFINED,ASLdeafined is a subscription based website for American Sign Language (ASL) video lessons.,I-ORG,asl deafined,VBN
YOUTUBE,upload video of someone or something to the video-sharing website YouTube,,youtube,NN
OLD,of specified age,,old,JJ
IMPROVE,make or become better,,improve,VB
SWEATSHIRT,"loose, warm sweater",,sweatshirt,NN
ANYBODY,anyone,,anybody,NN
EMPTY,containing nothing,,empty,JJ
MOM,one's mother,,mom,NN
HEALTH,state of being free from illness or injury,,health,NN
TICKET,piece of paper or card that gives holder certain rightt,,ticket,NN
DISTRIBUTE,give share of something to recipients,,distribute,NN
BEACH,seashore,,beach,NN
ENGINEERING,branch of science and technology concerned with design,,engineering,NN
TAB,second or further document or page that can be opened on spreadsheet or web browser,,tab,NN
PURSE,handbag,,purse,NN
MORE THAN,very great,,more than,NN
APPALING,greatly dismay or horrify,,appaling,VBG
BY,concerning; according to,,by,IN
GEORGIA,"state of south-eastern US, on Atlantic coast",I-LOC,georgia,NN
ZEBRA,African wild horse with black-and-white stripes,I-MISC,zebra,NN
ASSIGNMENTS ON TIME,latest time or date by which something should be completed,,assignments on time,NN
EXCITED,very enthusiastic and eager,,excited,VBN
BIRTHDAY,anniversary of day on which person was born,,birthday,NN
LEARN,gain knowledge of or skill in something,,learn,NN
MAGAZINE,publication,,magazine,NN
FOR,for what reason or purpose,,for,IN
APPLE,round fruit of tree of rose family,,apple,NN
S,nineteenth letter of alphabet,,s,NN
ASSIGNMENT,allocated task,,assignment,NN
MEAL,any of regular occasions in day when reasonably large amount of food is eaten,,meal,NN
IMPROVE,make or become better,,improve,VB
ARM,upper limb,,arm,NN
TRUE,in accordance with fact or reality,,true,JJ
THERE,"in, at, or to that place or position",,there,RB
PET STORE,A pet shop or pet store is a essential services retailer which sells animals and pet care resources to the public.,,pet store,NN
CERTIFICATION,action or process of providing someone or something with official document attesting to status or level of achievement,,certification,NN
SPICE,aromatic or pungent vegetable substance used to flavour food,,spice,NN
HIT,"strike with hand, weapon etc.",,hit,NN
FOR FOR,for what reason or purpose,,for for,NN
OWN,possess,,own,JJ
BOOTS,item of footwear covering foot and ankle,,boot,NNS
NEED,require something essential,,need,NN
BATHROOM,"room containing bath, washbasin, and toilet",,bathroom,NN
OF,expressing relationship between part and whole,,of,IN
JACKET,outer garment,,jacket,NN
SATURDAY,day of week before Sunday and following Friday,,saturday,NN
IMPRESSED,feeling admiration or respect,,impressed,JJ
MANAGEMENT,process of controlling things or people,,management,NN
GROUP,people or things located or classed together,,group,NN
MAN,adult human male,,man,NN
PASTA,dish consisting of dough made from durum wheat,,pasta,NN
AT TIMES,sometimes,,at times,NNS
THANKSGIVING,annual national holiday marked by religious observances,,thanksgiving,VBG
engineer,designer or maker of machines,,engineer,NN
KETCHUP,sauce made from tomatoes and vinegar,,ketchup,NN
AT THE BACK,"behind, esp in support or pursuit.",,at the back,NN
RUSH,sudden quick movement towards something,,rush,NN
FIND,discover by chance or unexpectedly,,find,VB
FAIL,be unsuccessful,,fail,NN
UPFRONT,at front,,upfront,NN
COUPLE,pair in romantic relationship,,couple,NN
LEAD,be in charge of,,lead,NN
GO,leave,,go,VB
CONCEPT,abstract idea,,concept,NN
GOLD,yellow precious metal,,gold,NN
BIG,of great size or extent,,big,JJ
WHY,for what reason or purpose,,why,WRB
TWITTER,make post on Twitter,,twitter,NN
ORBITAL,relating to orbit or orbits,,orbital,NN
SHORT-SLEEVED,a clothing item having short sleeves,,short-sleeved,JJ
MISSING,not able to be found,,missing,VBG
CONCLUSION,"the end or finish of an event, process, or text",,conclusion,NN
NATURAL,existing in or derived from nature,,natural,JJ
STRONG,having power to move heavy weights or perform other physically demanding tasks,,strong,JJ
ASSEMBLY,action of gathering together,,assembly,RB
C,third letter of alphabet,,c,NNS
ENERGY,strength needed for activity,,energy,NN
SHADE,comparative darkness and coolness caused by shelter from direct sunlight,,shade,NN
ALL,referring to the whole,,all,DT
LESSONS,period of learning or teaching,,lesson,NNS
TANK TOP,close-fitting sleeveless top,,tank top,NN
AMUSEMENT PARK,large outdoor area with fairground entertainments,,amusement park,NN
LIMIT,point beyond which something may not pass,,limit,NN
TERABYTE,unit of information equal to one million million ,,terabyte,NN
1792,The year 1792,,1792,CD
BRANCHES,one of the offices or groups that form part of a large business organization,,branch,NNS
FOOD,any nutritious substance that people or animals,,food,NN
VOLLEYBALL,"game for two teams, usually of six players",,volleyball,NN
EVACUATE,remove from dangerous place,,evacuate,NN
WHICH,asking for information specifying one or more people or things from definite set,,which,WDT
SPECIALIST,person who concentrates primarily on particular subject or activity,,specialist,NN
NOW,at present time,,now,RB
BUTTON,a fastener attached to clothing,,button,NN
TRUE,accurate or exact,,true,JJ
ASK SLOW DOWN AND AGAIN,ask to moving or operating at low speed,,ask slow down and again,NN
INTRODUCTION,bringing of something into use for first time,,introduction,NN
UNDER THE SEAT,directly below the seat,,under the seat,NN
HOPE,desire for thing to happen,,hope,NN
POISON,substance causing illness or death,,poison,NN
GARDEN,ground near house for growing plants,,garden,NN
NEGATIVE,not desirable or optimistic,,negative,JJ
TRAVEL,make journey,,travel,NN
RESPONSIBILITY,state or fact of having duty to deal with something or of having control over someone,,responsibility,NN
SEAT,thing made or used for sitting on,,seat,NN
SCOTT SCHWALBACH,Scott Schwalbach from AWS,I-PER,scott schwalbach,NN
EXPLAIN,make idea or situation clear to someone by describing it in more detail,,explain,NN
CONTINUE,persist in activity,,continue,NN
WHAT TO DO,asking for information specifying something,,what to do,NN
BENEFIT,advantage or profit gained,,benefit,NN
BIAS,strong feeling for or against person etc.,,bias,NN
WET,covered or saturated with water or another liquid,,wet,NN
BENEVOLENT,well meaning,,benevolent,NN
ANALYSIS,detailed examination,,analysis,NN
BLUSH,become red-faced through embarrassment etc.,,blush,NN
ADVENTURE,exciting experience,,adventure,NN
DOLPHIN,small toothed whale,I-MISC,dolphin,NN
BALANCE,even distribution of weight,,balance,NN
ABSTAIN,restrain oneself from doing or enjoying something,,abstain,NN
LITTLE,small amount of,,little,JJ
LESS,smaller amount of,,le,RBR
SUIT,set of outer clothes designed to be worn together,,suit,NN
WATCH,look at or observe attentively over period of time,,watch,NN
AGGRESSION,feelings of anger or antipathy resulting in hostile or violent behaviour,,aggression,NN
SICK,affected by physical or mental illness,,sick,NN
AROUND,on every side,,around,IN
EXCITED,very enthusiastic and eager,,excited,VBN
ARCHAEOLOGY,study of human history and prehistory through excavation of sites,,archaeology,NN
WORKERS,people who does specified type of work,,worker,NNS
HE,man or boy previously mentioned or easily identified,,he,PRP
ALL CONSUMED,completely used up,,all consumed,VBN
NEGATIVE EFFECT,have a negative effect on,,negative effect,NN
TABLE,piece of furniture with flat top and one or more legs,,table,NN
STAFF,all people employed by particular organization,,staff,NN
ENGINEERING,branch of science and technology concerned with design,,engineering,NN
TWO,equivalent to sum of one and one,,two,CD
SOLUTIONS,means of solving problem or dealing with difficult situation,,solution,NNS
REFEREE,official who watches game or match closely to ensure that rules are adhered to and in some sports,,referee,NN
ATTIC,space or room inside or partly inside roof of building,,attic,JJ
WILL,expressing future tense,,will,MD
AUTISTIC,relating to or affected by autism,I-MISC,autistic,JJ
ADORABLE,inspiring great affection or delight,,adorable,JJ
FEELINGS,emotional state or reaction,,feeling,NNS
SYSTEM,set of things working together as parts of mechanism,,system,NN
PROFESSIONAL,skilful or assured,,professional,JJ
ENGINE,machine converting power into motion,,engine,NN
SHARE,part or portion of larger amount which is divided,,share,NN
SUPRISE,"unexpected or astonishing event, fact",,suprise,NN
COLLEGE,educational institution providing higher education,,college,NN
BELONGINGS,person's movable possessions,,belonging,NNS
MIGRATE,move from one part to another,,migrate,NN
THINGS,"objects that one need not, cannot, or does not wish to give specific name",,thing,NNS
HANUKKAH,"lesser Jewish festival, lasting eight days from 25th day of Kislev in December",I-MISC,hanukkah,NN
CLICK,press of mouse button,,click,NN
EVENTS,"a thing that happens, especially one of importance",,event,NNS
BOARD GAME,game that involves movement of counters or other objects round board,,board game,NN
DESSERT,sweet course eaten at end of meal,,dessert,NN
BUNNY,rabbit,,bunny,NN
FLOOR,lower surface of room for walking on,,floor,NN
ALL GONE,"used up, finished, over with",,all gone,NN
AMUSE,cause someone to find something funny,,amuse,NN
HEALTHY,in good health,,healthy,JJ
PRESSURE,the use of persuasion or intimidation to make someone do something,,pressure,NN
PREFER,like one thing or person better than another or others,,prefer,NN
PLATFORM,raised surface for standing on,,platform,NN
BUILD,construct by putting things together,,build,NN
LESSON,period of learning or teaching,,lesson,NN
AGONIZE,undergo great mental anguish through worrying about something,,agonize,VB
SCREEN,panel or area on electronic device on which images and data are displayed,,screen,NN
AQUARIUM,transparent tank of water in which live fish are kept,,aquarium,NN
TEACH,cause someone to learn or understand something by example or experience,,teach,NN
CHOOSE,pick out person or thing as being best or most appropriate of two or more alternatives,,choose,NN
SOCIETY,aggregate of people living together in more,,society,NN
AT,expressing location or arrival,,at,IN
HIGHWAY,main road,,highway,NN
FRONT,forward part of something,,front,NN
FRENCH FRY,a long thin piece of potato fried in oil or fat,I-MISC,french fry,NN
TURN HANDLE,act of turning a handle,,turn handle,NN
EVERYONE,every person,,everyone,NN
CALL FROM,recieving a call.,,call from,NN
BUMMER,a disappointing or unpleasant situation or experience,,bummer,NN
PRODUCTS,manufactured article or substance,,product,NNS
NO,not,,no,DT
3,equivalent to sum of one and two,,3,CD
GOSSIP,conversation about other people,,gossip,NN
BITE,use teeth to eat,,bite,NN
CLOSE DOOR,Close door,,close door,NN
ASH,residue left after burning substance,,ash,NN
ATTITUDE,way of thinking,,attitude,NN
BY A HAIR,Very narrowly,,by a hair,NN
BIPOLAR,relating to two extremities,,bipolar,NN
BAREFOOT,wearing nothing on feet,,barefoot,NN
OPERATE,control functioning of,,operate,NN
MAXIMUM,greatest amount,,maximum,NN
WANT,have desire to possess or do,,want,NN
YEAH,used to give affirmative response,,yeah,NN
HAPPEN,take place; occur,,happen,VB
AGO,before present,,ago,RB
THERE,"in, at, or to that place or position",,there,RB
