word,definition
PREPARE,make ready for use or consideration
FLORIST,person who sells and arranges cut flowers
POOR,having little money
BRA,undergarment worn by women to support breasts
SAME TIME,simultaneously; at once
PUT,place in particular position
ANGRY,feeling or showing strong annoyance or hostility
REDUCE,make smaller or less in amount or size
BEEN THERE DONE THAT,used to express past experience of or overfamiliarity with something.
TIP,sum of money given to someone as reward for service
BLOW,expel air through pursed lips
NEWSPAPER,printed publication containing news
HASHTAG,word or phrase preceded by hash sign to identify messages on specific topic
BOOKS,written or printed work
APPRISE,inform or tell
INCREASE,"a rise in the size, amount, or degree of something"
BEE,stinging winged insect which collects nectar and pollen
CONFLICT,"a serious disagreement or argument, typically a protracted one"
GOATEE,small pointed beard like that of goat
AVERAGE,constituting result found by dividing total amount
EMPHASIZE,give special importance or value to something in speaking or writing
THERAPIST,person skilled in particular kind of therapy
ADMIRATION,respect and warm approval
FAMOUS,known about by many people
BRAIN CELL,cell in tissue of brain
DELIVER,provide something promised
EACH,used to refer to every one of two or more people or things
COFFEE,hot drink
HANDS,end part of person's arm including fingers
TWEETS,posts on Twitter
CAN,have ability
INCREASE,become or make greater in size or degree
BIRTH CONTROL,practice of preventing unwanted pregnancies
DISCOUNT,deduct amount from price
BREAK,extended period of leisure
BASED,situate at base
@, the symbol (@) used in email addresses
ROBOT,machine resembling human being
CODE,write code for computer program
BANDWIDTH,range of frequencies within given band
AWAKE,not asleep
BAPTIST,belonging to Protestant Christian denomination
VIDEO,"system of recording, reproducing, or broadcasting moving visual images"
HELP,assist someone to do something
BAKERY,place where bread and cakes are made or sold
EARLY,before usual time
MAGNIFYING GLASS,"a lens that produces an enlarged image, typically set in a frame with a handle and used to examine small or finely detailed things such as fingerprints and fine print"
LOCATION,place or position
DOUBT,feeling of uncertainty
SHINE,give out bright light
ADMINISTRATIVE,"relating to running of business, organization, etc."
POWER,physical strength and force
PAGE,sheet of paper in book etc.
SEPTEMBER,"ninth month of year, in northern hemisphere"
END,final part
BLUE,blue colour
TIE,attach or fasten with string or similar cord
HEART,conventional representation of heart
ORLANDO,city and tourist resort in central Florida
ABHORRENCE,feeling of revulsion
WEDDING,marriage ceremony
UGLY,unpleasant or repulsive
PURCHASE,the action of buying something
ANNIVERSARY,date on which event took place or institution was founded in previous year
GROWING,undergoing natural development by increasing in size and changing physically
I,used by speaker to refer to himself or herself
ALL NIGHT,"lasting, open, or operating throughout the night."
BAT,mainly nocturnal mammal with membranous wings that extend between fingers and limbs
AWAY,to or at a distance
TABLES,set of facts or figures systematically displayed
LATE,happening after expected time
READY,in suitable state for action or situation
SAFE,protected from or not exposed to danger or risk
AWARENESS,knowledge or perception of situation or fact
COMPETE,strive to gain or win something by defeating or establishing superiority over others
SAFE,protected from or not exposed to danger or risk
SNEEZE,act or sound of expelling air from nose in such way
WANT,have desire to possess or do
INDUSTRY,economic activity involving processing of raw materials and manufacture of goods
JANUARY,"first month of year, in northern hemisphere"
BATH,large container for washing
GOING,act of leaving
SEPARATE,cause to move or be apart
SCORE,"number of points, goals, runs, etc. achieved in game or by team"
TROLLS,person who makes deliberately provocative post
CARAMEL,"sugar or syrup heated until it turns brown, used as flavouring or colouring"
ASL DICTIONARY,Dictionary of American Sign Langauge
DROVE,past of drive
ALARM,fit with alarm
BEAN BAG,large cushion filled with polystyrene beads
BROWN,the color or shade of brown
IRAN,"country in Middle East, between Caspian Sea and Persian Gulf"
CHECK,"an examination to test or ascertain accuracy, quality, or satisfactory condition"
AMAZON, the world's largest online retailer and a prominent cloud service provider
OTHERS,denoting person or thing distinct from one already mentioned
INDEX LIST OF,features or a list of something
IN,expressing movement resulting in becoming enclosed
INFLATE,increase by large amount
ABOUT,on subject of
PAINT,apply paint to
THROUGH,expressing movement into one side and out of other side of opening etc.
SEARCH,act of searching for person or thing
ANSWERS,say or write in responses
RUN,move at speed faster than walk
BEEF,"flesh of cow, bull, or ox"
EXHAUSTED,very tired
VOTE,"a formal indication of a choice between two or more candidates or courses of action, expressed typically through a ballot or a show of hands"
LIGHTNING,occurrence of natural electrical discharge of very short duration and high voltage between cloud and ground or within cloud
SWAMP,"area of low-lying, uncultivated ground where water collects"
GET,come to have or hold
APPLE TREE,"tree bearing apples, with hard pale timber that is used in carpentry"
TIRED,in need of sleep or rest
GIVE,transfer possession of something to
SUBWAY,underground railway
RECENT,"having happened, begun, or been done not long ago"
BOSTON,state capital of Massachusetts
AFFLICTED,caused pain or trouble to
BOOTH,"a small temporary tent or structure at a market, fair, or exhibition, used for selling goods, providing information, or staging shows"
ABRAHAM LINCOLN,"Abraham Lincoln was an American lawyer, politician, and statesman who served as the 16th president of the United States from 1861."
FIRST,coming before all others
EXAM,A test of specified kind
HOLD HANDS,grasp or carry in one's hands
SERVICES,assistance or advice given to customers
APPREHEND,arrest someone for crime
ABOUT,on subject of
DETAIL,individual fact or item
POWERFUL,having great power or strength
BATMAN,"US cartoon, TV, and film character"
NORTHWEST,to or toward the northwest
STEPMOTHER,woman who is wife or partner of one's parent after divorce or death
OVER,extending upwards from
CHANGE,make different
FLIGHT,action or process of flying
MASK BAG,airplane emergency procedure step
LOCAL,relating or restricted to area
MUST,be obliged to
ADDITIONAL,"added, extra, or supplementary to what is already present or available"
BRITCHES,trousers
WEST,"the direction towards the point of the horizon where the sun sets at the equinoxes, on the left-hand side of a person facing north, or the part of the horizon lying in this direction"
ARRANGE,put in order
BEFORE,during period of time preceding particular event
JULY,"seventh month of year, in northern hemisphere"
ATTRACTIONS,something that people come to see because they are interested in it
BROUGHT,take or go with (someone or something) to a place
HARDWARE,"machines, wiring, and other physical components of computer"
ORANGE,large citrus fruit
HAPPEN,take place
DOWNLOAD,act or process of downloading data
FINISH,complete task or activity
CALCULATOR,"something used for making mathematical calculations, in particular a small electronic device with a keyboard and a visual display"
COLLECTION,action of collecting
BEAUTY PAGEANT,beauty contest
STRAIGHT HAIR,hair that goes straight down with no texture
FRIEND,person one has affectionate bond with
ASL FAMILY,part of the ASL Community
AI,artificial intelligence
OXYGEN MASK OFF,removing oyxgen mask covering
APARTMENT,flat
DIGITAL,referring to signals/information represented by discrete values of quantity
SHE,"used to refer to woman, girl, or female animal"
HOW,in what way
RIVER,large natural stream of water flowing in channel to sea
BROACH,ornament fastened to clothing with hinged pin and catch
BUILDING,structure with roof and walls
CALCULUS,"the branch of mathematics that deals with the finding and properties of derivatives and integrals of functions, by methods originally based on the summation of infinitesimal differences. The two main types are differential calculus and integral calculus"
BUYER,a person who makes a purchase
EXAM,short for examination (sense 2).
ASHEN,very pale with shock or illness
EQUAL,the same
DIVORCE,legally dissolve marriage with
AGREE,have same opinion
MANY,large number of
NORWAY,mountainous European country on northern and western coastline of Scandinavia
BASIC,fundamental
MOBILE DEVICES,"relating to mobile phones, handheld computers, and similar technology"
DESERT,"waterless, desolate area"
BUY,obtain in exchange for payment
COFFEE,hot drink
BEAR,large animal
DESKTOP,working surface of desk
POLICE,civil force for prevention of crime
CLICK,press mouse button
ELEVEN,one more than ten
SOFT,having pleasing quality involving subtle effect or contrast rather than sharp definition
GRANDPA,one's grandfather
LIKE,similar to
EMPIRE,"an extensive group of states or countries ruled over by a single monarch, an oligarchy, or a sovereign state"
ATTORNEY,lawyer
AIRBAG,safety device fitted inside road vehicle
SHARE,have portion of something with another or others
BIO,biography
NAME,word by which person or thing is known
APPROXIMATE,"close to the actual, but not completely accurate or exact"
DISCRIMINATION,action of discriminating against people
RECOMMEND,put forward person or thing with approval as being suitable for particular purpose or role
ALL-AMERICAN,having good American qualities
LAW,system of rules in country or community
NOSE RING,a ring or jewelry that is worn on the nose
EXTRA,additional
ANTARCTICA,continent round South Pole
LIVING ROOM,space that can be occupied or where something can be done
H,eighth letter of alphabet
SENIOR,high or higher in rank or status
INTERNET,global computer network providing information and communication facilities
SOFTBALL,modified form of baseball played on smaller field with larger
ELEVATOR,lift
TOPIC,matter dealt with in text or conversation
BENEFICIARY,person who derives advantage from something
FLOOD,overflow of large amount of water over dry land
BENEFIT,advantage or profit gained
EXTREME WEATHER,"weather that is harsh, unseasonal, or atypical"
INTERPRETER,person who interprets
BASH,party
ASSISTANT APPLY,job offer for secretary or administrative assistant working exclusively for one particular person
TALL,of great or more than average height
DINNER,main meal of day
UP,directed or moving towards higher place or position
PROGRAM,provide (a computer or other machine) with coded instructions for the automatic performance of a task
OPEN-MINDED,willing to consider new ideas; unprejudiced
FLEXIBILITY,quality of bending easily without breaking
OF,expressing relationship between part and whole
BECAUSE,for reason that
WATERPOLO,"game of Eastern origin resembling hockey, played on horseback with long-handled mallet"
BARTER,exchange goods or services for other goods or services without using money
FALL,move downwards
NOVEMBER,"eleventh month of year, in northern hemisphere"
WHERE,in or to what place or position
MODULE,standardized part used in construction of structure
BLUSTERY,characterized by strong winds
BROWSE,survey goods
AGENT,person acting for another
GLOBAL,relating to whole world
CAN'T,cannot or unable
BODY ACHE,"Body ache is a complaint that is often used to denote vague symptoms of mild fatigue, lethargy, or dull aches."
HEAT,high temperature
CROWD,large gathering of people
SMART,having or showing quick-witted intelligence
ADVERSARY,one's opponent in contest or dispute
BAPTISMAL,relating to the Christian rite of baptism
RAINFOREST,"luxuriant, dense forest rich in biodiversity"
LEARN,gain knowledge of or skill in something
DATA,facts and statistics collected together for reference or analysis
PICNIC,occasion when packed meal is eaten outdoors
MATCH,exact equivalent
COCHLEAR IMPLANT,"an electronic device that stimulates the auditory nerve through electrodes placed in the cochlea of the inner ear, allowing some severely deaf people to perceive sounds."
THOMAS JEFFERSON,"Thomas Jefferson was an American statesman, diplomat, lawyer, architect, philosopher, and Founding Father who served as the third president of the United States from 1801 to 1809."
VETO,exercise a veto against (a decision or proposal)
DATA LOSS,"Data loss is an error condition in information systems in which information is destroyed by failures or neglect in storage, transmission, or processing"
V,twenty-second letter of alphabet
HELP YOU,assist someone to do something
FORCE,make (someone) do something against their will
NEAR,nearby
EARTH,our planet
ELBOWS,joints of arm
STRANGE,unusual or surprising
BOTTLE RETURN,"A monetary deposit collected at the point of sale when a bottled beverage is purchased, and fully or partially refunded when the empty bottle is returned."
BUILD,style or form of construction
SINK,fixed basin with water supply and outflow pipe
BURNING-UP,(of a person) have a very high temperature
GLASSES,"pair of lenses set in frame resting on nose and ears, used to correct or assist defective eyesight"
DAD,one's father
GRANDCHILDREN,children of one's son or daughter
SPOON,implement used for eating
BEACH,seashore
BUFFALO,heavily built wild ox
EQUAL,the same
YES,used to give affirmative response
ANNUALY,once year
BEGAN,"do or experience first part of 
something"
COVER,extend over area
RAINBOW,"arch of colours visible in sky, caused by refraction and dispersion of sun's light by rain"
DANGER,possibility of suffering harm
BUZZ CUT,"a style of cutting the hair in which all the hair is cut very short, close to the skin of the head"
BOUQUET,attractively arranged bunch of flowers
LESS,smaller amount
POINT TOP RIGHT,direct someone's attention towards something by extending one's finger or something held in one's hand
COLUMBIA,a republic in northwestern South America
RUN,move at speed faster than walk
APPARENTLY,as far as one knows or can see
MAD,very angry
CALL ME,requesting that someone call you by telephone.
WOLF,wild carnivorous mammal which is largest member of dog family
TUESDAY,day of week before Wednesday and following Monday
AMOUNT,quantity
REMOVE,take something away or off from position occupied
HUNGER,discomfort from lack of food
CHEQUE,order to bank to pay sum from drawer's account
POSSIBLE,able to be done
ALIVE,living
RESPIRATORY,relating to or affecting respiration or organs of respiration
R,eighteenth letter of alphabet
IMPORTANT,of great significance or value
LESSONS,period of learning or teaching
FOUND,past and past participle of find
AREA,region
GATHER,come together
MORE,greater amount of
ACQUAINTANCE,knowledge or experience of something
PROFESSIONAL,relating to profession
OPTOMETRIST,person who practises optometry
AWAY,"to or at a distance from a particular place, person, or thing"
SHOCKED,surprised and upset
ABILITY,possession of means or skill to do something
PARKING LOT,an area where people can leave their cars
MAINE,"NE state of US, on Atlantic coast"
PLANE LANDING,instance of plane coming to land
ADDITIONALLY,as extra factor or circumstance
APP,self-contained program or piece of software designed to fulfil particular purpose
AMUSING,causing laughter and providing entertainment
BUILDING,action or trade of constructing something
ROLE,"actor's part in play, film"
COFFEE SHOP,"a small restaurant, often in a store, hotel, etc., where coffee, tea, other drinks without alcohol and simple food are served"
PRICE,decide price of
ROLLER COASTER,fairground attraction consisting of light railway track
HIT,cause harm or distress to
BLONDE,fair or pale yellow
THEIR,associated with people or things previously mentioned
HOSPITAL,institution providing medical and surgical treatment and nursing care
GROW,increase
AS OPPOSED TO,used to compare two things and show that they are different from each other
JOURNALIST,person who writes for newspapers or prepares news to be broadcast
IMPORTANT,of great significance or value
MAINTAIN,preserve
ISRAEL,Hebrew nation or people
SHOTS,small drink of liquids
UP TO NOW,until now
AMAZON,"a company set up in 1994 to sell books through the internet. The company now also offers video, music, video games, goods, and computer services."
CHEW,work food in mouth
SIZE,estimate or measure something's dimensions
PELLET,rounded compressed mass
CRY,shed tears
AFFILIATION,state or process of affiliating or being affiliated
BM,Bowel movement
ANDROID,operating system for smartphones and tablet computers
THREE OF YOU,equivalent to sum of one and two people
DETAILS,having many details or facts
CUTE,endearingly attractive
ASL DEAFINED,ASLdeafined is a subscription based website for American Sign Language (ASL) video lessons.
YOUTUBE,upload video of someone or something to the video-sharing website YouTube
OLD,of specified age
IMPROVE,make or become better
SWEATSHIRT,"loose, warm sweater"
ANYBODY,anyone
EMPTY,containing nothing
MOM,one's mother
HEALTH,state of being free from illness or injury
TICKET,piece of paper or card that gives holder certain rightt
DISTRIBUTE,give share of something to recipients
BEACH,seashore
ENGINEERING,branch of science and technology concerned with design
TAB,second or further document or page that can be opened on spreadsheet or web browser
PURSE,handbag
MORE THAN,very great
APPALING,greatly dismay or horrify
BY,concerning; according to
GEORGIA,"state of south-eastern US, on Atlantic coast"
ZEBRA,African wild horse with black-and-white stripes
ASSIGNMENTS ON TIME,latest time or date by which something should be completed
EXCITED,very enthusiastic and eager
BIRTHDAY,anniversary of day on which person was born
LEARN,gain knowledge of or skill in something
MAGAZINE,publication
FOR,for what reason or purpose
APPLE,round fruit of tree of rose family
S,nineteenth letter of alphabet
ASSIGNMENT,allocated task
MEAL,any of regular occasions in day when reasonably large amount of food is eaten
IMPROVE,make or become better
ARM,upper limb
TRUE,in accordance with fact or reality
THERE,"in, at, or to that place or position"
PET STORE,A pet shop or pet store is a essential services retailer which sells animals and pet care resources to the public.
CERTIFICATION,action or process of providing someone or something with official document attesting to status or level of achievement
SPICE,aromatic or pungent vegetable substance used to flavour food
HIT,"strike with hand, weapon etc."
FOR FOR,for what reason or purpose
OWN,possess
BOOTS,item of footwear covering foot and ankle
NEED,require something essential
BATHROOM,"room containing bath, washbasin, and toilet"
OF,expressing relationship between part and whole
JACKET,outer garment
SATURDAY,day of week before Sunday and following Friday
IMPRESSED,feeling admiration or respect
MANAGEMENT,process of controlling things or people
GROUP,people or things located or classed together
MAN,adult human male
PASTA,dish consisting of dough made from durum wheat
AT TIMES,sometimes
THANKSGIVING,annual national holiday marked by religious observances
engineer,designer or maker of machines
KETCHUP,sauce made from tomatoes and vinegar
AT THE BACK,"behind, esp in support or pursuit."
RUSH,sudden quick movement towards something
FIND,discover by chance or unexpectedly
FAIL,be unsuccessful
UPFRONT,at front
COUPLE,pair in romantic relationship
LEAD,be in charge of
GO,leave
CONCEPT,abstract idea
GOLD,yellow precious metal
BIG,of great size or extent
WHY,for what reason or purpose
TWITTER,make post on Twitter
ORBITAL,relating to orbit or orbits
SHORT-SLEEVED,a clothing item having short sleeves
MISSING,not able to be found
CONCLUSION,"the end or finish of an event, process, or text"
NATURAL,existing in or derived from nature
STRONG,having power to move heavy weights or perform other physically demanding tasks
ASSEMBLY,action of gathering together
C,third letter of alphabet
ENERGY,strength needed for activity
SHADE,comparative darkness and coolness caused by shelter from direct sunlight
ALL,referring to the whole
LESSONS,period of learning or teaching
TANK TOP,close-fitting sleeveless top
AMUSEMENT PARK,large outdoor area with fairground entertainments
LIMIT,point beyond which something may not pass
TERABYTE,unit of information equal to one million million 
1792,The year 1792
BRANCHES,one of the offices or groups that form part of a large business organization
FOOD,any nutritious substance that people or animals
VOLLEYBALL,"game for two teams, usually of six players"
EVACUATE,remove from dangerous place
WHICH,asking for information specifying one or more people or things from definite set
SPECIALIST,person who concentrates primarily on particular subject or activity
NOW,at present time
BUTTON,a fastener attached to clothing
TRUE,accurate or exact
ASK SLOW DOWN AND AGAIN,ask to moving or operating at low speed
INTRODUCTION,bringing of something into use for first time
UNDER THE SEAT,directly below the seat
HOPE,desire for thing to happen
POISON,substance causing illness or death
GARDEN,ground near house for growing plants
NEGATIVE,not desirable or optimistic
TRAVEL,make journey
RESPONSIBILITY,state or fact of having duty to deal with something or of having control over someone
SEAT,thing made or used for sitting on
SCOTT SCHWALBACH,Scott Schwalbach from AWS
EXPLAIN,make idea or situation clear to someone by describing it in more detail
CONTINUE,persist in activity
WHAT TO DO,asking for information specifying something
BENEFIT,advantage or profit gained
BIAS,strong feeling for or against person etc.
WET,covered or saturated with water or another liquid
BENEVOLENT,well meaning
ANALYSIS,detailed examination
BLUSH,become red-faced through embarrassment etc.
ADVENTURE,exciting experience
DOLPHIN,small toothed whale
BALANCE,even distribution of weight
ABSTAIN,restrain oneself from doing or enjoying something
LITTLE,small amount of
LESS,smaller amount of
SUIT,set of outer clothes designed to be worn together
WATCH,look at or observe attentively over period of time
AGGRESSION,feelings of anger or antipathy resulting in hostile or violent behaviour
SICK,affected by physical or mental illness
AROUND,on every side
EXCITED,very enthusiastic and eager
ARCHAEOLOGY,study of human history and prehistory through excavation of sites
WORKERS,people who does specified type of work
HE,man or boy previously mentioned or easily identified
ALL CONSUMED,completely used up
NEGATIVE EFFECT,have a negative effect on
TABLE,piece of furniture with flat top and one or more legs
STAFF,all people employed by particular organization
ENGINEERING,branch of science and technology concerned with design
TWO,equivalent to sum of one and one
SOLUTIONS,means of solving problem or dealing with difficult situation
REFEREE,official who watches game or match closely to ensure that rules are adhered to and in some sports
ATTIC,space or room inside or partly inside roof of building
WILL,expressing future tense
AUTISTIC,relating to or affected by autism
ADORABLE,inspiring great affection or delight
FEELINGS,emotional state or reaction
SYSTEM,set of things working together as parts of mechanism
PROFESSIONAL,skilful or assured
ENGINE,machine converting power into motion
SHARE,part or portion of larger amount which is divided
SUPRISE,"unexpected or astonishing event, fact"
COLLEGE,educational institution providing higher education
BELONGINGS,person's movable possessions
MIGRATE,move from one part to another
THINGS,"objects that one need not, cannot, or does not wish to give specific name"
HANUKKAH,"lesser Jewish festival, lasting eight days from 25th day of Kislev in December"
CLICK,press of mouse button
EVENTS,"a thing that happens, especially one of importance"
BOARD GAME,game that involves movement of counters or other objects round board
DESSERT,sweet course eaten at end of meal
BUNNY,rabbit
FLOOR,lower surface of room for walking on
ALL GONE,"used up, finished, over with"
AMUSE,cause someone to find something funny
HEALTHY,in good health
PRESSURE,the use of persuasion or intimidation to make someone do something
PREFER,like one thing or person better than another or others
PLATFORM,raised surface for standing on
BUILD,construct by putting things together
LESSON,period of learning or teaching
AGONIZE,undergo great mental anguish through worrying about something
SCREEN,panel or area on electronic device on which images and data are displayed
AQUARIUM,transparent tank of water in which live fish are kept
TEACH,cause someone to learn or understand something by example or experience
CHOOSE,pick out person or thing as being best or most appropriate of two or more alternatives
SOCIETY,aggregate of people living together in more
AT,expressing location or arrival
HIGHWAY,main road
FRONT,forward part of something
FRENCH FRY,a long thin piece of potato fried in oil or fat
TURN HANDLE,act of turning a handle
EVERYONE,every person
CALL FROM,recieving a call.
BUMMER,a disappointing or unpleasant situation or experience
PRODUCTS,manufactured article or substance
NO,not
3,equivalent to sum of one and two
GOSSIP,conversation about other people
BITE,use teeth to eat
CLOSE DOOR,Close door
ASH,residue left after burning substance
ATTITUDE,way of thinking
BY A HAIR,Very narrowly
BIPOLAR,relating to two extremities
BAREFOOT,wearing nothing on feet
OPERATE,control functioning of
MAXIMUM,greatest amount
WANT,have desire to possess or do
YEAH,used to give affirmative response
HAPPEN,take place; occur
AGO,before present
THERE,"in, at, or to that place or position"
SOCIETY,aggregate of people living together in more
BUILD,construct by putting things together
BOOKSTORE,a shop where books are sold
PINTEREST,American image sharing and social media service
WATER,"colourless, transparent, odourless liquid"
OWNER,person who owns something
SHORT,measuring small distance from end to end
DIVERSITY,state of being diverse
ARMED FORCES,"a country's army, navy, and air force"
GO,leave
WITHDRAW,remove or take away something from particular place or position
GALAXY,system of millions or billions of stars
RINGS,small circular band
CURLY HAIR,"Hair that's curly is wavy, coiled, or spiral-shaped"
RESPECT,feeling of deep admiration for person or thing elicited by their abilities or achievements
NATURAL,existing in or derived from nature
EQUAL,be the same as
DIRECT,extending or moving from one place to another by the shortest way without changing direction or stopping
YOU,used to refer to any person in general
BOAR,wild pig
CONVERSATION,talk between people
BRAIN,organ in skull
SECURITY,state of being free from danger or threat
AUTO,automatic mode of operation
FRECKLE,small patch of light brown colour on skin
TRUE,in accordance with fact or reality
ASSEMBLE,fit together the separate component parts of (a machine or other object)
GIRAFFE,large African mammal with very long neck
PUT AWAY,place in particular position
OTHER,denoting person or thing distinct from one already mentioned
ATE,past of eat
COLLECT,bring or gather together (a number of things)
DEEPER,extending far down from the top or surface.
WASHINGTON DC,capital of US
OUR,belonging to speaker and one or more others people
COLD,of or at low temperature
CHAIR,seat
SOUTH AFRICA,South Africa is a country on the southernmost tip of the African continent.
MENU,list of dishes available in restaurant
NATIVE AMERICANS,member of indigenous peoples of Americas
ACCOUNT MANAGER,An account manager (AM) is a person who works for a company and is responsible for the management of sales and relationships with particular customers. 
HERE,"in, at, or to this place"
EARLY,happening before usual time
COMPUTER,electronic device for storing and processing data
PRODUCTION,action of making or manufacturing from components or raw materials
WHERE,in or to what place or position
BEEHIVE,structure in which bees are kept
ANNOYANCE,feeling or state of being annoyed
THANKSGIVING,annual national holiday marked by religious observances
REPORT,give spoken or written account of something
NEED,thing that is needed
EMERGENCY,serious and unexpected situation
BB-8,Character from Star Wars
AUTHOR,writer of book etc.
HANGOUT,place one lives in or frequently visits
LIFE,state of living
DELIGHTED,feeling or showing great pleasure
NONE,not any
SUPRISE,cause someone to feel mild astonishment or shock
TECHNICIAN,person employed to look after technical equipment or do practical work in laboratory
FULL,having no empty space
SOUP,liquid dish made by boiling meat or vegetables in stock
NEXT,coming after in time
WHEN,at what time
KITTEN,young cat
ARABIC,Semitic language of Arabs
ABIDE,accept or act in accordance with
VISIT,act of going to see person or place as guest
EXTRA,additional
SILVER,of the colour of silver
RESPONSIBLE,"having obligation to do something, or having control over or care for someone, as part"
FOR,because
BECOME,begin to be
SAME LEVEL, something being equal with something else
PILL,round piece of solid medicine
POOL,game played on billiard table
OLD,the age of a person 
USER,person who uses or operates something
A YEAR FROM NOW,It means 'within 12 months' because 'This time next year' means literally 365 days from now.
NORMAL,usual or typical
BADLY BEHAVED,to conduct (oneself) badly or improperly.
SISTER,woman or girl in relation to other daughters and sons of her parents
ANNIHILATE,destroy utterly
BACK OF MIND,"Intending to do something, but not actively thinking about it "
ABLE,"having power, skill, means, or opportunity to do something"
STAIRS,set of steps leading from one floor of building to another
EXPANSION,the action of becoming larger or more extensive
SECRETARY,"person employed by individual or in office to assist with correspondence, make appointments, and carry out administrative tasks"
POINT FORWARD,direct someone's attention towards something by extending one's finger or something held in one's hand
EMAIL,send email to
MEN,adult human males
COUCH,long upholstered piece of furniture
BARISTA,person who serves in coffee bar
BATTY,mad
SAVE,"to store something, preserve"
SWEETHEART,person with whom someone is having relationship
SCARE,cause great fear or nervousness in
BAKE,cook food by dry heat
PERFECT,as good as is possible
TRUE,truly
MAY,expressing possibility
POTENTIAL,having capacity to develop
PASTA,dish consisting of dough made from durum wheat
KEEP,have or retain possession of
USER,person who uses or operates something
AUTHENTICITY,quality of being authentic
HISTORIAN,"an expert in or student of history, especially that of a particular period, geographical region, or social phenomenon"
INJURY,instance of being injured
DINNER,main meal of day
TEACH,impart knowledge to or instruct someone as to how to do something
CLOUD,mass of condensed watery vapour
TOILET,large bowl for urinating or defecating into
READ,period or act of reading something
VALUE,regard that something is held to deserve
BOLD,confident and courageous
EARRING,piece of jewellery worn on lobe or edge of ear
AT THE SAME TIME,at same time
CELL PHONE,mobile phone
LESSON,teach
ROOM,space that can be occupied or where something can be done
ST PATRICK'S DAY,religious and cultural holiday held on 17 March
EAT,put food into the mouth
HER,female person or animal previously mentioned
UNDIFFERENTIATED,not different or differentiated
BIRD,vertebrate able to fly
SURPRISE,cause someone to feel mild astonishment or shock
BEARD,hair on man's face
V-NECK,neckline having straight sides meeting at point
FOX,carnivorous mammal
CONTACT,communicate with
U,twenty-first letter of alphabet
Q,seventeenth letter of alphabet
ADVICE,guidance or recommendations offered with regard to prudent action
AUDITORIUM,"part of theatre, concert hall, or other public building"
STORE,shop of any size or kind
BACKUP,support
BASIC,fundamental
VERY COMPLEX,consisting of many different connected parts
INTERSECTION,point common to lines that intersect
SLAVERY,the state of being a slave
FAKE,not genuine
SMOKING,action or habit of inhaling and exhaling smoke of tobacco
POINT FRONT,direct someone's attention towards something by extending one's finger or something held in one's hand
PROCESS,series of actions towards achieving something
APPEASE,pacify or placate someone by acceding to their demands
BUSTLE,excited activity and movement
TIGER,"very large solitary cat with yellow-brown coat striped with black, native to forests of Asia but bec"
SELECT,carefully choose as being best or most suitable
ATHLETE,person who is proficient in sports and other forms of physical exercise
DRINK,swallow liquid
BRIDGE,structure crossing obstacle
BBQ,barbecue
HELP YOU,assist someone to do something
BRUTALITY,savage physical violence; great cruelty
AGAIN AND AGAIN,once more
BILL OF RIGHTS,"English constitutional settlement of 1689, confirming deposition of James II and accession of William and Mary"
CONCLUSION,"the end or finish of an event, process, or text"
AISLE,passage between rows of seats in building
SEE THROUGH,not be deceived by
BLACK AND BLUE,covered in livid bruises
FAIR,treating people equally
CAN'T,cannot
SEND,cause to go or be taken to particular destination
INTRODUCTION,bringing of something into use for first time
G,seventh letter of alphabet
BASKETBALL,game in which goals are scored by throwing ball through hoop
BILL,statement of money owed
SOMETIMES,"occasionally, rather than all of time"
SNOW,frozen water vapour falling in white flakes
MIND-BLOWNING,"very exciting, impressive or surprising"
FOURTH,constituting number four in sequence
QUESTION INDEX,a sentence worded or expressed so as to elicit information
WHAT DO,asking for information specifying something
CAVE,natural underground chamber in hillside or cliff
TALKATIVE,fond of or given to talking
MODULES,standardized part used in construction of structure
EVERYONE,every person
ORANGE,reddish yellow
CONSISTENTLY,in every case or on every occassion
APPLICANT,person who makes formal application for something
POINT,full stop or similar punctuation mark
LONELY,sad because one has no friends or company
TRUE,accurate or exact
ON,added to
HOMEWORK,schoolwork that pupil is required to do at home
BIRTHDAY,anniversary of day on which person was born
DEMAND,insistent request
SOURCE,obtain from a particular source
THOUSANDS,number equivalent to product of hundred and ten
EARTHQUAKE,sudden violent shaking of ground as result of movements within earth's crust or volcanic action
IDEA,suggestion of possible course of action
BLANKET,bed covering
SEASON,each of four divisions of year
APPROVE,officially agree to or accept as satisfactory
RESPONSIBILITY,state or fact of being accountable or to blame for something
ACHE,pain
1819,The year 1819
BLOCKCHAIN,system in which transactions made in cryptocurrency are recorded
BAD,unpleasant or unwelcome
BRAINY,having or showing intelligence
AIR,"invisible gaseous substance surrounding earth, mixture"
PENNSYLVANIA,state of north-eastern US
PLEASE,cause to feel satisfied
CLOTHING STORE,A clothes shop or clothes store is any shop which sells items of ready-made clothing
INCLUDE,comprise or contain as part of whole
RING,small circular band
AFFIRMATION,action or process of affirming something
EXISTING,in existence or operation at current time
ARDUOUS,involving or requiring strenuous effort
BUILDING,structure with roof and walls
COIN,disc or piece of metal used as money
PRIVATE,for or belonging to one person
WONDERFUL,inspiring delight or admiration
PHILOSOPHY,study of nature of knowledge and reality
AFFECTIONATE,readily feeling or showing fondness or tenderness
HELP,action of helping
WIG,covering for head made of real or artificial hair
AMATEUR,person who engages in pursuit on unpaid basis
